week_start,sku,units,stockout,price,rel_price,promo
2023-01-02,PAD-TOY-P,5,0,89.0,1.0,0
2023-01-02,PAD-FOR-P,9,0,89.0,1.0,0
2023-01-02,BAT-TOY-P,1,0,199.0,1.0,0
2023-01-02,BAT-FOR-P,3,0,199.0,1.0,0
2023-01-02,WIP-TOY-P,14,0,23.2,0.8,0.2
2023-01-02,WIP-FOR-P,7,0,23.2,0.8,0.2
2023-01-02,PAD-TOY-V,15,0,62.0,1.0,0
2023-01-02,PAD-FOR-V,7,0,62.0,1.0,0
2023-01-02,BAT-TOY-V,1,0,139.0,1.0,0
2023-01-02,BAT-FOR-V,4,0,139.0,1.0,0
2023-01-02,WIP-TOY-V,10,0,14.4,0.8,0.2
2023-01-02,WIP-FOR-V,9,0,14.4,0.8,0.2
2023-01-09,PAD-TOY-P,4,0,91.3,1.0258,0
2023-01-09,PAD-FOR-P,5,0,91.3,1.0258,0
2023-01-09,BAT-TOY-P,5,0,194.65,0.9781,0
2023-01-09,BAT-FOR-P,5,0,194.65,0.9781,0
2023-01-09,WIP-TOY-P,9,0,30.3,1.0448,0
2023-01-09,WIP-FOR-P,2,0,30.3,1.0448,0
2023-01-09,PAD-TOY-V,15,0,63.6,1.0258,0
2023-01-09,PAD-FOR-V,15,0,63.6,1.0258,0
2023-01-09,BAT-TOY-V,4,0,135.96,0.9781,0
2023-01-09,BAT-FOR-V,3,0,135.96,0.9781,0
2023-01-09,WIP-TOY-V,8,0,18.8,1.0444,0
2023-01-09,WIP-FOR-V,11,0,18.8,1.0444,0
2023-01-16,PAD-TOY-P,6,0,74.04,0.8319,0.2
2023-01-16,PAD-FOR-P,2,0,74.04,0.8319,0.2
2023-01-16,BAT-TOY-P,8,0,198.77,0.9988,0
2023-01-16,BAT-FOR-P,4,0,198.77,0.9988,0
2023-01-16,WIP-TOY-P,2,0,31.01,1.0693,0
2023-01-16,WIP-FOR-P,6,0,31.01,1.0693,0
2023-01-16,PAD-TOY-V,26,0,51.58,0.8319,0.2
2023-01-16,PAD-FOR-V,4,0,51.58,0.8319,0.2
2023-01-16,BAT-TOY-V,9,0,138.84,0.9988,0
